Name,Platform,Year,Genre,Critic_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
Wii Sports,Wii,2006,Sports,7.7,Nintendo  ,Nintendo EAD  ,41.36,29.02,3.77,8.51,82.66
Mario Kart 8 Deluxe,NS,2017,Racing,9.3,Nintendo  ,Nintendo EPD  ,5.05,4.98,2.11,0.91,13.05
Super Mario Bros.,NES,1985,Platform,10.0,Nintendo  ,Nintendo EAD  ,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,Wii,2008,Racing,8.2,Nintendo  ,Nintendo EAD  ,15.91,12.92,3.8,3.35,35.98
Wii Sports Resort,Wii,2009,Sports,8.0,Nintendo  ,Nintendo EAD  ,15.61,10.99,3.29,3.02,32.910000000000004
Pokémon Red / Green / Blue Version,GB,1998,Role-Playing,9.4,Nintendo  ,Game Freak  ,11.27,8.89,10.22,1.0,31.380000000000003
New Super Mario Bros.,DS,2006,Platform,9.1,Nintendo  ,Nintendo EAD  ,11.28,9.19,6.5,2.89,29.86
New Super Mario Bros. Wii,Wii,2009,Platform,8.6,Nintendo  ,Nintendo EAD  ,14.53,7.01,4.7,2.27,28.509999999999998
Super Smash Bros. Ultimate,NS,2018,Fighting,9.4,Nintendo  ,Bandai Namco Games  ,4.22,1.72,2.41,0.61,8.959999999999999
Wii Play,Wii,2007,Misc,5.9,Nintendo  ,Nintendo EAD  ,13.96,9.18,2.93,2.85,28.92
The Legend of Zelda: Breath of the Wild,NS,2017,Action-Adventure,9.9,Nintendo  ,Nintendo EPD  ,4.54,2.94,1.26,0.73,9.47
Super Mario Odyssey,NS,2017,Platform,9.9,Nintendo  ,Nintendo EPD  ,5.1,3.75,2.02,0.84,11.709999999999999
Kinect Adventures!,X360,2010,Party,6.7,Microsoft Game Studios  ,Good Science Studio  ,15.09,4.97,0.24,1.81,22.109999999999996
Nintendogs,DS,2005,Simulation,8.4,Nintendo  ,Nintendo EAD  ,9.05,10.96,1.93,2.74,24.68
Mario Kart DS,DS,2005,Racing,9.1,Nintendo  ,Nintendo EAD  ,9.71,7.51,4.13,1.91,23.259999999999998
Pokémon Gold / Silver Version,GB,2000,Role-Playing,9.2,Nintendo  ,Game Freak  ,9.0,6.18,7.2,0.71,23.09
Wii Fit,Wii,2008,Sports,7.9,Nintendo  ,Nintendo EAD  ,8.92,8.03,3.6,2.15,22.7
Wii Fit Plus,Wii,2009,Sports,8.0,Nintendo  ,Nintendo EAD  ,9.01,8.51,2.53,1.76,21.810000000000002
Super Mario World,SNES,1991,Platform,8.5,Nintendo  ,Nintendo EAD  ,12.78,3.75,3.54,0.55,20.62
Grand Theft Auto V,PS3,2013,Action,9.4,Rockstar Games  ,Rockstar North  ,6.37,9.85,0.99,3.12,20.33
