Rank,Name,Platform,Year,Genre,Critic_Score,User_Score,Publisher,Developer,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Total_Sales
1,Tetris,Series,1989.0,Puzzle,,,Nintendo  ,Alexey Pajitnov  ,,,,,
2,Pokemon,Series,1998.0,Role-Playing,,,Nintendo  ,Game Freak  ,,,,,
3,Call of Duty,Series,2003.0,Shooter,,,Activision  ,Infinity Ward  ,,,,,
4,Super Mario,Series,1983.0,Platform,,,Nintendo  ,Nintendo  ,,,,,
5,Grand Theft Auto,Series,1998.0,Action-Adventure,,,Rockstar Games  ,Rockstar North  ,,,,,
6,FIFA,Series,1993.0,Sports,,,EA Sports  ,Extended Play Productions (1991-1997)  ,,,,,
7,Minecraft,Series,2011.0,Sandbox,,,Mojang  ,Mojang  ,,,,,
8,Minecraft,All,2011.0,Action-Adventure,,,Mojang  ,Mojang AB  ,,,,,
9,Lego,Series,1997.0,Action-Adventure,,,Mindscape  ,TT Fusion  ,,,,,
10,Assassin's Creed,Series,2007.0,Action-Adventure,,,Ubisoft  ,Ubisoft  ,,,,,
11,The Sims,Series,2000.0,Simulation,,,Electronic Arts  ,Maxis  ,,,,,
12,Final Fantasy,Series,1987.0,Role-Playing,,,Square  ,Square  ,,,,,
13,Grand Theft Auto V,All,2013.0,Action-Adventure,,,Rockstar Games  ,Rockstar North  ,,,,,
14,Mario Kart,Series,1992.0,Racing,,,Nintendo  ,Nintendo  ,,,,,
15,Need for Speed,Series,1994.0,Racing,,,Electronic Arts  ,EA Black Box  ,,,,,
16,Tomb Raider,Series,1996.0,Action-Adventure,,,Eidos Interactive  ,Core Design  ,,,,,
17,Resident Evil,Series,1996.0,Action-Adventure,,,Capcom  ,Capcom  ,,,,,
18,Madden NFL,Series,1988.0,Sports,,,Electronic Arts  ,Park Place Productions  ,,,,,
19,NBA 2K,Series,1999.0,Sports,,,Sega  ,Visual Concepts  ,,,,,
20,The Legend of Zelda,Series,1987.0,Action-Adventure,,,Nintendo  ,Nintendo  ,,,,,
21,Wii Sports,Series,2006.0,Sports,,,Nintendo  ,Nintendo  ,,,,,
22,Pro Evolution Soccer/eFootball,Series,1995.0,Sports,,,Konami  ,Konami  ,,,,,
23,Monster Hunter,Series,2004.0,Role-Playing,,,Capcom  ,Capcom  ,,,,,
24,Sonic the Hedgehog,Series,1991.0,Platform,,,Sega  ,Sonic Team  ,,,,,
25,Dragon Quest,Series,1986.0,Role-Playing,,,Square  ,ArtePiazza  ,,,,,
26,Wii Sports,Wii,2006.0,Sports,7.7,,Nintendo  ,Nintendo EAD  ,41.36,29.02,3.77,8.51,82.65
27,Halo,Series,2001.0,Shooter,,,Microsoft Game Studios  ,Bungie  ,,,,,
28,Gran Turismo,Series,1998.0,Racing,,,Sony Computer Entertainment  ,Polyphony Digital  ,,,,,
29,Battlefield,Series,2002.0,Shooter,,,Electronic Arts  ,EA DICE  ,,,,,
30,Borderlands,Series,2009.0,Shooter,,,2K Games  ,Gearbox Software  ,,,,,
31,Animal Crossing,Series,2002.0,Simulation,,,Nintendo  ,Nintendo  ,,,,,
32,PUBG,Series,2017.0,Shooter,,,PUBG Corporation  ,PUBG Corporation  ,,,,,
33,Worms,Series,1995.0,Strategy,,,Team17  ,Team17  ,,,,,
34,Mortal Kombat,Series,1992.0,Fighting,,,Midway  ,Avalanche Software  ,,,,,
35,Super Smash Bros.,Series,1999.0,Fighting,,,Nintendo  ,Nintendo  ,,,,,
36,Just Dance,Series,2009.0,Music,,,Ubisoft  ,Ubisoft  ,,,,,
37,PlayerUnknown's Battlegrounds,All,2017.0,Shooter,,,PUBG Corporation  ,PUBG Corporation  ,,,,,
38,Red Dead,Series,2004.0,Action-Adventure,,,Rockstar Games  ,Rockstar San Diego  ,,,,,
39,WWE 2K,Series,2000.0,Fighting,,,THQ  ,Visual Concepts  ,,,,,
40,Mario Party,Series,1999.0,Party,,,Nintendo  ,Hudson Soft  ,,,,,
41,Dragon Ball,Series,1986.0,Role-Playing,,,Bandai  ,Tose  ,,,,,
42,Counter-Strike,Series,2000.0,Shooter,,,Valve  ,Valve  ,,,,,
